point,RSSI,Filtered RSSI,average rssi,average filtered rssi,Unnamed: 5
1.0,-61.0,-61.0,-54.88461538461539,-54.92514385506071,
1.0,-61.0,-61.0,,,
1.0,-62.0,-61.625,,,
1.0,-64.0,-63.09523809523809,,,
1.0,-63.0,-63.03636363636364,,,
1.0,-63.0,-63.01388888888889,,,
1.0,-64.0,-63.62334217506631,,,
1.0,-59.0,-60.76595744680851,,,
1.0,-58.0,-59.05650154798762,,,
1.0,-50.0,-53.45927568366593,,,
1.0,-50.0,-51.32132572977246,,,
1.0,-54.0,-52.97683747412008,,,
1.0,-50.0,-51.13705073603914,,,
1.0,-59.0,-55.99662063301773,,,
1.0,-59.0,-57.85281116292486,,,
1.0,-59.0,-58.56181285575187,,,
1.0,-59.0,-58.83262740433047,,,
1.0,-58.0,-58.31803536848964,,,
1.0,-57.0,-57.50344471238855,,,
1.0,-57.0,-57.19229876867601,,,
1.0,-56.0,-56.45541760488959,,,
1.0,-57.0,-56.79198803474265,,,
1.0,-57.0,-56.92054649933836,,,
1.0,-56.0,-56.35161747452252,,,
1.0,-48.0,-51.19003401423004,,,
1.0,-48.0,-49.21848456816761,,,
1.0,-49.0,-49.08345367902268,,,
1.0,-48.0,-48.41384248015054,,,
1.0,-57.0,-53.720379660178,,,
1.0,-48.0,-50.18499060163442,,,
1.0,-56.0,-53.77886405472443,,,
1.0,-47.0,-49.58929566378981,,,
1.0,-55.0,-52.93329484664415,,,
1.0,-56.0,-54.82862286489252,,,
1.0,-56.0,-55.55257374803342,,,
1.0,-56.0,-55.82909837920774,,,
1.0,-56.0,-55.9347213895898,,,
1.0,-56.0,-55.97506578956167,,,
1.0,-55.0,-55.37244199034531,,,
1.0,-58.0,-56.99636214772393,,,
1.0,-48.0,-51.43630456532754,,,
1.0,-57.0,-54.87485744700774,,,
1.0,-56.0,-55.57023378694578,,,
1.0,-56.0,-55.83584391382962,,,
1.0,-55.0,-55.31926396579318,,,
1.0,-49.0,-51.41374405105054,,,
1.0,-56.0,-54.24820610860771,,,
1.0,-57.0,-55.94890826352248,,,
1.0,-47.0,-50.41817879446079,,,
1.0,-48.0,-48.92366210860978,,,
1.0,-55.0,-52.6790454526178,,,
1.0,-82.0,-70.80039194549079,,,
1.0,-55.0,-61.03521268760741,,,
1.0,-55.0,-57.30524611733143,,,
1.0,-49.0,-52.17232173188751,,,
1.0,-55.0,-53.91992301083047,,,
1.0,-55.0,-54.58744730060389,,,
1.0,-55.0,-54.84241889098121,,,
