Point ID,X (cm),Y (cm)
0,0,0
1,60,0
2,120,0
3,180,0
4,240,0
5,300,0
6,360,0
7,420,0
8,480,0
9,540,0
10,592,0
11,0,60
12,60,60
13,120,60
14,180,60
15,240,60
16,300,60
17,360,60
18,420,60
19,480,60
20,540,60
21,592,60
22,0,120
23,60,120
24,120,120
25,180,120
26,240,120
27,300,120
28,360,120
29,420,120
30,480,120
31,540,120
32,592,120
33,0,180
34,60,180
35,120,180
36,180,180
37,240,180
38,300,180
39,360,180
40,420,180
41,480,180
42,540,180
43,592,180
44,0,240
45,60,240
46,120,240
47,180,240
48,240,240
49,300,240
50,360,240
51,420,240
52,480,240
53,540,240
54,592,240
55,0,300
56,60,300
57,120,300
58,180,300
59,240,300
60,300,300
61,360,300
62,420,300
63,480,300
64,540,300
65,592,300
66,0,360
67,60,360
68,120,360
69,180,360
70,240,360
71,300,360
72,360,360
73,420,360
74,480,360
75,540,360
76,592,360
77,0,420
78,60,420
79,120,420
80,180,420
81,240,420
82,300,420
83,360,420
84,420,420
85,480,420
86,540,420
87,592,420
88,0,480
89,60,480
90,120,480
91,180,480
92,240,480
93,300,480
94,360,480
95,420,480
96,480,480
97,540,480
98,592,480
